DOI	title	eligibility	reason	adjudicator	source_field
10.1038/s41597-025-06229-5	Lithium-Ion Battery Pack Cycling Dataset with CC-CV Charging and WLTP/Constant Discharge Profiles	IN_SCOPE	Lithium-ion pack cycling dataset with CC-CV/WLTP profiles	Ananke/Sol	title+Crossref metadata
10.1038/s41597-025-05725-y	High-power lithium-ion battery characterization dataset for stochastic battery modeling	IN_SCOPE	High-power lithium-ion characterization dataset	Ananke/Sol	title+Crossref metadata
10.1038/s41597-022-01333-2	CYCLANDS: Cycling geo-located accidents, their details and severities	OUT_OF_SCOPE	Non-battery: bicycle accidents	Ananke/Sol	title+Crossref metadata
10.1038/s41597-026-07247-7	BikeZ-ETH – A Mass-Cycling Trajectory Dataset from a Controlled Experiment	OUT_OF_SCOPE	Non-battery: bicycle mass-cycling trajectories	Ananke/Sol	title+Crossref metadata
10.1038/s41597-020-00728-3	Reproducible and stable cycling performance data on secondary zinc oxygen batteries	OUT_OF_SCOPE	Non-lithium chemistry: secondary zinc-oxygen batteries	Ananke/Sol	title+Crossref metadata
10.1038/s41597-020-00602-2	A database of battery materials auto-generated using ChemDataExtractor	OUT_OF_SCOPE	Non-cycling dataset: text-mined materials database	Ananke/Sol	title+Crossref metadata
10.1038/s41597-023-02180-5	A battery dataset for electric vertical takeoff and landing aircraft	IN_SCOPE	eVTOL battery cycling/degradation dataset	Ananke/Sol	title+Crossref metadata
10.1038/s41597-019-0178-3	Discharge performance and dynamic behavior of refuellable zinc-air battery	OUT_OF_SCOPE	Non-lithium chemistry: refuellable zinc-air battery	Ananke/Sol	title+Crossref metadata
10.1038/s41597-022-01217-5	Reproducible long-term cycling data of Al2O3 coated LiNi0.70Co0.15Mn0.15O2 cathodes for lithium-ion batteries	IN_SCOPE	Long-term cycling of LiNi0.70Co0.15Mn0.15O2 lithium-ion cathodes/cells	Ananke/Sol	title+Crossref metadata
10.1038/s41597-026-06600-0	Dataset about Warming Effects on Carbon Cycling and Greenhouse Gas Fluxes in Permafrost Ecosystems	OUT_OF_SCOPE	Non-battery: permafrost carbon cycling and GHG fluxes	Ananke/Sol	title+Crossref metadata
10.1038/s41597-021-00986-9	Quantum chemical calculations of lithium-ion battery electrolyte and interphase species	OUT_OF_SCOPE	Non-cycling dataset: quantum chemical computational calculations	Ananke/Sol	title+Crossref metadata
10.1038/s41597-024-04236-6	An infrared, Raman, and X-ray database of battery interphase components	OUT_OF_SCOPE	Non-cycling dataset: spectroscopic database (IR/Raman/X-ray)	Ananke/Sol	title+Crossref metadata
10.1038/s41597-025-06148-5	Unveiling Energy Dynamics of Battery Electric Vehicle Using High-Resolution Data	OUT_OF_SCOPE	Non-cell degradation: whole electric vehicle telematics	Ananke/Sol	title+Crossref metadata
10.1038/s41597-026-07128-z	A cyclist-centric 360° panoramic dataset for safety-critical object detection in real-world cycling scenarios	OUT_OF_SCOPE	Non-battery: bicycle computer vision object detection	Ananke/Sol	title+Crossref metadata
10.1038/s41597-024-03859-z	A multi-stage lithium-ion battery aging dataset using various experimental design methodologies	IN_SCOPE	Multi-stage lithium-ion battery aging dataset	Ananke/Sol	title+Crossref metadata
10.1038/s41597-022-01814-4	SOMAS: a platform for data-driven material discovery in redox flow battery development	OUT_OF_SCOPE	Non-lithium chemistry: redox flow battery platform	Ananke/Sol	title+Crossref metadata
10.1038/s41597-025-06113-2	Genome-Resolved Metagenomics of Rice Straw Degradation Experiments in Colombian Fields	OUT_OF_SCOPE	Non-battery: rice straw biological degradation metagenomics	Ananke/Sol	title+Crossref metadata
10.1038/s41597-026-07606-4	Annotated datasets for waste electrical and electronic equipment identification and battery detection and classification	OUT_OF_SCOPE	Non-cycling dataset: computer vision electronic waste classification	Ananke/Sol	title+Crossref metadata
10.1038/s41597-024-03662-w	In-Situ Characterization of Cathode Catalyst Degradation in PEM Fuel Cells	OUT_OF_SCOPE	Non-battery: PEM fuel cell catalyst degradation	Ananke/Sol	title+Crossref metadata
10.1038/s41597-026-07950-5	A survey dataset of 1,000 battery industry professionals with LLM-assisted free-text categorization	OUT_OF_SCOPE	Non-cycling dataset: survey of industry professionals	Ananke/Sol	title+Crossref metadata
10.1038/s41597-025-06196-x	A literature-derived dataset of migration barriers for quantifying ionic transport in battery materials	OUT_OF_SCOPE	Non-cycling dataset: literature-derived ionic transport barriers	Ananke/Sol	title+Crossref metadata
10.1038/s41597-021-00932-9	An open tool for creating battery-electric vehicle time series from empirical data, emobpy	OUT_OF_SCOPE	Non-experimental dataset: vehicle mobility simulation tool (emobpy)	Ananke/Sol	title+Crossref metadata
10.1038/s41597-025-05951-4	Clean technology cost projections: investment and levelized costs of solar, wind, battery, and hydrogen	OUT_OF_SCOPE	Non-cycling dataset: levelized cost economic projections	Ananke/Sol	title+Crossref metadata
10.1038/s41597-026-07577-6	A high-resolution dataset on costs and greenhouse gas emissions of battery recycling in China	OUT_OF_SCOPE	Non-cycling dataset: battery recycling economic and GHG emissions	Ananke/Sol	title+Crossref metadata
10.1038/s41597-025-04667-9	Vis-NIR soil spectral library of the Hungarian Soil Degradation Observation System	OUT_OF_SCOPE	Non-battery: Hungarian soil degradation spectral library	Ananke/Sol	title+Crossref metadata
10.1038/s41597-022-01226-4	The Dual Mechanisms of Cognitive Control dataset, a theoretically-guided within-subject task fMRI battery	OUT_OF_SCOPE	Non-battery: cognitive control task fMRI battery (psychology)	Ananke/Sol	title+Crossref metadata
10.1038/s41597-026-07857-1	Multi-modal thermal runaway dataset of fresh and aged lithium-ion battery cells and modules	IN_SCOPE	Multi-modal thermal runaway and aging dataset of lithium-ion cells	Ananke/Sol	title+Crossref metadata
10.1038/s41597-025-05222-2	Human brain local field potential recordings during a battery of multilingual cognitive and eye-tracking tasks	OUT_OF_SCOPE	Non-battery: cognitive task battery local field potentials (neuroscience)	Ananke/Sol	title+Crossref metadata
10.1038/s41597-026-07214-2	Speech Database of Consonant-based Articulation Assessment Battery plus Sustained Vowels for Oral and Oropharyngeal Cancers	OUT_OF_SCOPE	Non-battery: speech assessment battery for cancer patients	Ananke/Sol	title+Crossref metadata
10.1038/s41597-020-0539-y	Discharge profile of a zinc-air flow battery at various electrolyte flow rates and discharge currents	OUT_OF_SCOPE	Non-lithium chemistry: zinc-air flow battery	Ananke/Sol	title+Crossref metadata
10.1038/s41597-025-06097-z	Natural forests of the world – a 2020 baseline for deforestation and degradation monitoring	OUT_OF_SCOPE	Non-battery: forest deforestation and degradation monitoring	Ananke/Sol	title+Crossref metadata
10.1038/s41597-024-03831-x	Comprehensive battery aging dataset: capacity and impedance fade measurements of a lithium-ion NMC/C-SiO cell	IN_SCOPE	Capacity and impedance fade measurements of lithium-ion NMC/C-SiO cell	Ananke/Sol	title+Crossref metadata
10.1038/s41597-025-05748-5	A Large-Scale Image Repository for Automated Pavement Distress Analysis and Degradation Trend Prediction	OUT_OF_SCOPE	Non-battery: road pavement distress and degradation	Ananke/Sol	title+Crossref metadata
10.1038/s41597-025-05269-1	Thermal Degradation of Face Mask Waste through Pyrolysis at Different Temperatures for Value-Added Products	OUT_OF_SCOPE	Non-battery: face mask pyrolysis degradation	Ananke/Sol	title+Crossref metadata
10.1038/s41597-026-06776-5	A Chinese Traditional Opera Video Super-Resolution Dataset Based on the “Real-world+” Degradation Fusion	OUT_OF_SCOPE	Non-battery: video super-resolution degradation	Ananke/Sol	title+Crossref metadata
10.1038/s41597-025-06081-7	Author Correction: A Large-Scale Image Repository for Automated Pavement Distress Analysis and Degradation Trend Prediction	OUT_OF_SCOPE	Non-battery: author correction on pavement distress	Ananke/Sol	title+Crossref metadata
