Data point,Step,Step time,Voltage,Current,Power,Temperature,Capacity,Energy,Total time,End status
1,1,00:00:10,3.2868,0,0,26.3,0,0,00:00:10,0
2,1,00:00:20,3.2868,0,0,26.3,0,0,00:00:20,0
3,1,00:00:30,3.2868,0,0,26.4,0,0,00:00:30,0
4,1,00:00:40,3.2868,0,0,26.4,0,0,00:00:40,0
5,1,00:00:50,3.2868,0,0,26.4,0,0,00:00:50,0
6,1,00:01:00,3.2868,0,0,26.4,0,0,00:01:00,Time
7,2,00:00:10,3.2956,0.746,2.5,26.3,1.95,0.0064174,00:01:10,0
8,2,00:00:20,3.2987,0.746,2.5,26.4,3.94,0.01298,00:01:20,0
9,2,00:00:30,3.3016,0.747,2.5,26.5,6.09,0.0200967,00:01:30,0
10,2,00:00:40,3.3038,0.747,2.5,26.5,8.09,0.0266749,00:01:40,0
11,2,00:00:50,3.3059,0.747,2.5,26.6,10.24,0.0338031,00:01:50,0
12,2,00:01:00,3.3079,0.747,2.5,26.6,12.24,0.0403928,00:02:00,0
13,2,00:01:10,3.3097,0.747,2.5,26.6,14.35,0.0473914,00:02:10,0
14,2,00:01:20,3.3115,0.747,2.5,26.6,16.38,0.0541235,00:02:20,0
15,2,00:01:30,3.3133,0.747,2.5,26.6,18.54,0.0612683,00:02:30,0
16,2,00:01:40,3.3146,0.747,2.5,26.6,20.49,0.0677309,00:02:40,0
17,2,00:01:50,3.3164,0.747,2.5,26.6,22.65,0.0748887,00:02:50,0
18,2,00:02:00,3.3178,0.747,2.5,26.6,24.77,0.0819054,00:03:00,0
19,2,00:02:10,3.3191,0.747,2.5,26.6,26.76,0.0885246,00:03:10,0
20,2,00:02:20,3.3203,0.747,2.5,26.6,28.92,0.0956856,00:03:20,0
21,2,00:02:30,3.3215,0.747,2.5,26.6,30.91,0.1023002,00:03:30,0
22,2,00:02:40,3.3225,0.747,2.5,26.6,32.94,0.1090495,00:03:40,0
23,2,00:02:50,3.3238,0.747,2.5,26.5,35.14,0.1163553,00:03:50,0
24,2,00:03:00,3.3247,0.747,2.5,26.5,37.09,0.1228367,00:04:00,0
25,2,00:03:10,3.3255,0.747,2.5,26.5,39.25,0.1300105,00:04:10,0
26,2,00:03:20,3.3262,0.747,2.5,26.5,41.24,0.1366384,00:04:20,0
27,2,00:03:30,3.3269,0.747,2.5,26.5,43.36,0.14368,00:04:30,0
28,2,00:03:40,3.3276,0.747,2.5,26.5,45.51,0.1508593,00:04:40,0
29,2,00:03:50,3.328,0.747,2.5,26.5,47.51,0.1574901,00:04:50,0
30,2,00:04:00,3.3286,0.747,2.5,26.5,49.66,0.1646691,00:05:00,0
31,2,00:04:10,3.329,0.747,2.5,26.5,51.7,0.1714331,00:05:10,0
32,2,00:04:20,3.3294,0.747,2.5,26.5,53.73,0.1782085,00:05:20,0
33,2,00:04:30,3.3298,0.747,2.5,26.5,55.85,0.1852524,00:05:30,0
34,2,00:04:40,3.3301,0.747,2.5,26.5,57.96,0.1923037,00:05:40,0
35,2,00:04:50,3.3304,0.748,2.5,26.5,59.96,0.1989404,00:05:50,0
36,2,00:05:00,3.3306,0.747,2.5,26.5,61.8,0.2050803,00:06:00,Time
37,3,00:00:10,3.3393,1.496,5,26.4,3.33,0.0110984,00:06:10,0
38,3,00:00:20,3.342,1.496,5,26.4,7.65,0.0255358,00:06:20,0
39,3,00:00:30,3.3432,1.496,5,26.4,11.72,0.0391596,00:06:30,0
40,3,00:00:40,3.3441,1.496,5,26.4,15.96,0.0533216,00:06:40,0
41,3,00:00:50,3.3447,1.496,5,26.4,19.95,0.0666663,00:06:50,0
42,3,00:01:00,3.3451,1.496,5,26.4,24.35,0.0814031,00:07:00,0
43,3,00:01:10,3.3455,1.496,5,26.4,28.35,0.0947575,00:07:10,0
44,3,00:01:20,3.3458,1.496,5,26.4,32.67,0.1092136,00:07:20,0
45,3,00:01:30,3.346,1.496,5,26.4,36.66,0.1225709,00:07:30,0
46,3,00:01:40,3.3463,1.496,5,26.4,40.98,0.1370279,00:07:40,0
47,3,00:01:50,3.3465,1.496,5,26.4,44.97,0.1503892,00:07:50,0
48,3,00:02:00,3.3466,1.496,5,26.4,49.21,0.1645714,00:08:00,0
49,3,00:02:10,3.3467,1.496,5,26.4,53.45,0.1787572,00:08:10,0
50,3,00:02:20,3.3469,1.496,5,26.3,57.44,0.1921186,00:08:20,0
51,3,00:02:30,3.3471,1.496,5,26.3,61.68,0.2063029,00:08:30,0
52,3,00:02:40,3.3472,1.496,5,26.3,65.92,0.2204945,00:08:40,0
53,3,00:02:50,3.3473,1.496,5,26.3,69.99,0.2341334,00:08:50,0
54,3,00:03:00,3.3474,1.496,5,26.3,74.23,0.2483256,00:09:00,0
55,3,00:03:10,3.3475,1.496,5,26.3,78.22,0.2616883,00:09:10,0
56,3,00:03:20,3.3477,1.496,5,26.3,82.55,0.2761561,00:09:20,0
57,3,00:03:30,3.3478,1.496,5,26.3,86.54,0.2895179,00:09:30,0
58,3,00:03:40,3.3479,1.496,5,26.3,90.78,0.3037067,00:09:40,0
59,3,00:03:50,3.3481,1.496,5,26.3,94.85,0.3173504,00:09:50,0
60,3,00:04:00,3.3482,1.496,5,26.3,99.09,0.3315403,00:10:00,0
61,3,00:04:10,3.3483,1.496,5,26.3,103.16,0.3451858,00:10:10,0
62,3,00:04:20,3.3484,1.496,5,26.3,107.49,0.3596543,00:10:20,0
63,3,00:04:30,3.3485,1.496,5,26.3,111.48,0.373033,00:10:30,0
64,3,00:04:40,3.3487,1.496,5,26.3,115.8,0.387504,00:10:40,0
65,3,00:04:50,3.3488,1.496,5,26.3,119.79,0.400868,00:10:50,0
66,3,00:05:00,3.3489,1.496,5,26.2,123.73,0.4140569,00:11:00,Time
